name,url,notes,category
Photos,//photos.johnpe.art,My personal photo blog sharing platform,Blog
Manuals,//manuals.johnpe.art,A repository of instructions and code for my projects,Blog
Beans Means Coffee,//coffee.johnpe.art,A blog all about good coffee beans and shops,Blog
Wishlist,//wishlist.johnpe.art,"A list of gift ideas and things I'd love to have",Blog
You Have to Hear This,//youhavetohear.github.io,"A music recommendation blog, designed by me with words from Adam Robson",Blog
Directory,//podcast.johnpe.art,"A landing page for all my podcasts",Podcast
Department of Bad Ideas,//badideas.podcast.johnpe.art,"A podcast about policy, disconnected from reality",Podcast
Civil Service PrideON podcast,//www.civilservice.lgbt/podcast,"The official pride podcast for the Civil Service LGBT+ Network",Podcast
@DeptOfAdmin,//twitter.com/deptofadmin/,A Twitterbot for the fictional Department of Administrative Affairs,Bot
@DeptForMemes,//twitter.com/deptformemes/,A Twitterbot that tweets out memes in the style of political branding,Bot
Outline Card Stack,//johnpe.art/outline-card-stack/,"A CSS experiment, mimicking the card stacks from The Outline",Snippet
Printrello,//printrello.github.io,A web app for turning Trello boards into printable dashboards,App
Image maker,//johnpe.art/michelangelo,A web app for creating images for social media,App
Goals,//goals.johnpe.art,"A dashboard to track progress against my personal goals",Data
LGBT MP,//mps.whoare.lgbt,"A dataset of all Members of Parliament who define as lesbian, gay, bisexual or transgender",Data
LGBT Ministers,//ministers.whoare.lgbt,"A dataset of current UK Government ministers who define as lesbian, gay, bisexual or transgender",Data
